Failure Mode Original,CMPLNT_TXT,CAUSE_TXT,CORRECT_TXT
U-Joint Driveshaft Failure, THE UJOINT ON THE ILS HAS EXCESSIVE FREE PLAY., THE CV PART OF THE JOINT WAS EXCESSIVE F REEPLAY, TURNED THE WHEELS AND LIFTED UP THE RIGH T SIDE AND THEN I REMOVED THE OUTTER DUA L SO THAT I cOULD GET IN TO THE PLUG ON THE OUTTER H UB. THEN ONcE I GOT THE OUTTER DUAL OFF I REMOVED TEH BOLT OLDING TEH SHAFT IN T HE SUN GEAR. TEHN I REMOVED THE BOLTS OU T OF THE U JOINT AND THEN REMOVED TEH DRIVE SHAFT. THEN I REMOVED THE OLD SEALS AND THEN IS NTALELD LL THE NEW SEALS AND THN INSTALL ED THE DRIV ESHAFT AND THEN THEN INSTALLED TEH BOLTS  AND PUT THE TIRE BAcK ON AND THEN TOPPE D IT OFF WITH OIL. THEN I MADE SURE THAT  ITWAS NOT LOOSE ANYMORE.
U-Joint Driveshaft Failure,  Left and right drive shaft have a lot of play.,  Both drivelines have excessive play at u-joint area.,  Use seRvice advisoR to check and diagnostic stoRed codes on tRactoR and cleaRed them. Test dRove tRactoR and found that both sides f Ront dRivelines have a lot of play. PaRts oRdeRed to RepaiR tRactoR. Set tRactoR on flat suRface. Remove and Replace left hand side dRive line. Set tRactoR on flat suRface. Remove and Replace Right hand side dRive line. Note: This tRactoR is equiped with fRont dua ls so it takes a longeR time to peRfoRm this job.
U-Joint Driveshaft Failure,  Antriebswelle gebrochen,  Weitwinkelgelenk der Antriebswelle gebrochen,"  Maschine übeRpRüft, Weitwinkelgelenk deR Rechten ILS AntRiebswelle waR gebRochen, SchleppeR aufgebockt und Rad demontieRt, AntRiebsw elle ausgebaut und duRch eine neue eRsetzt, SchleppeR wiedeR montieRt, Öl aufgefüllt, FunktionspRobe duRchgefühRt-i.O."
U-Joint Driveshaft Failure, Ruido en el cardan del eje delantero. Luego rotura del centro del eje cardan de traccion de la ILS , Disenio de la junta homocinetica exterior no puede lubricarse y produce el desgaste del eje de centrado de la union universal hasta que finalmente se quiebra ," Se Reemplazo el eje caRdan completo ya que no viene poR paRtes El pin de centRado de la union de las dos cRuces se Rompe poR falta de lubRicacion ya que no puede engRasaRse. Esta falla es continua en este tipo de ejes y la solucion DTAc 82790 habla al Respecto, sin embaRgo no han encontRado la solucion al pRoblema.Se adjunta foto. GM. "
Internal Gearcase Failure - Primary failed part unknown, ROUE AVANT BLOQUEE , ELEMENT DE MAINTIENT CASSE ENTRAINANT LA DETERIORATION DU REDUCTEUR ET UNE FUITE AU NIVEAU DU CARTER DE DIFFERENTIEL ," DEPOSE DU REDUcTEUR POUR POUVOIR DEPLAcER LE TRAcTEUR; RENTRER TRAcTEUR A L'ATELIER; DEPOSE DU REDUcTEUR, NETTOYAGE ET REMISE EN ETAT; DEPOSE DU MOYEU ET DES BRAS DE LA SUSPENSION POUR DEMONTER LE cARTER DE DIFFERENTIEL; NETTOYAGE, cHANGER JOINT DE cARTER (3 JOINTS RE160203 DE cHANGER, cAR UN ENDOMMAGE AU MONTAGE); REPOSE DU cARTER, DES BRAS ET DU MOYEU, REPOSE DU REDUcTEUR ET DE LA ROUE; EFFEcTUER cONTROLE DU REDUcTEUR GAUcHE, REFAIRE NIVEAU D'HUILE; cONTROLE ET ESSAI "
U-Joint Driveshaft Failure,  U-JOINT BROKE IN RIGHT SIDE,  U-JOINT FAILED,  KEY PART #: RE308018DOWNTIME: LESS THAN FOURSFAILURE MODE: STRIPPEDFAILURE AREA: RIGHT ILS DRIVE SHAFTcOMPLAINT: U-JOINT BROKE I N RIGHT SIDEcAUSE: U-JOINT FAILEDcORREcTION: ***FIELD SERVIcE cALL***DIAGNOSTIc: 0.50 HR.cHEcKED AND FOUND PROBLEMREPAIR: 3.50 HRS.JAcKED UP FRONT END REMOVED OUTER OIL PLUG AND REMOVED LOcKING BOLTREMOVED U-JOINT AND REMOVED SHAFTR/R SHAFT AND SEALSINS TALLED PARTS IN REVERSE RAN IN
U-Joint Driveshaft Failure,  NOISE IN FRONT AXLE,"  KNUCKLE BROKE, WEAK MATERIAL",  cHEcKED OVER NOISE IN FRONT AXLE AND FOUND THE KNUcKLE WAS BROKE. REMOVED DRIVESHAFT. PUT SEALS ON NEW SHAFT. INSTALLED NEW SHAFT. c LEANED UP MESS. GREASED SHAFT. TORQUED ALL HARDWARE. DROVE OUTSIDE TO TEST OPS. PARKED ON WEST LOT.
U-Joint Driveshaft Failure,  Barulho na roda dianteira direita.,  O trator apresentou barulho na roda dianteira direita. Fizemos o diagnóstico e constatamos que o cardã RE308018 estava danificado. O mesmo tabmbém acabou danificando outras peças e com isso ocorrendo a falha.,  Substituímos as peças e solucionamos o pRoblema.
U-Joint Driveshaft Failure, ***Revised by D.Busby on 5/21/2015: Correct failure part was added.*** Noise coming from front left side of machine. , Front outer ILS axle is broken. , ALL ROW cROP TRAcTORS REPLAcE ILS OUTER AXLE REMOVE cENTER cAP FROM HUB REMOVE BOLT AND SNAP RING UNBOLT U-JOINT FROM INNER AXLE REMOVE SHAFT INSTALL SEAL ON NEW SHAFT INSTALL U-JOINT REASSEMBLE IN REVERSE ORDER FILL WITH OIL TEST OPERATION 
U-Joint Driveshaft Failure,  Driveline for MFWD is loose and makes noise,  U-joint cross and bearing failure,"  Resubmit 1/14/14-cV joint within the dRiveline is the failed paRt and can't be seRviced independently. Tech calls this a u-joint, but is Really cV joint. coRRect paRt was Replaced and RepaiR fixed machine. Thank you. R&R outside duals and spaceRs. DRained hubs. R & R and Replaced left fRont dRive line and seals. This RepaiR was foR the otheR side of the machine. Same type failuRe as befoRe, just the otheR side."
U-Joint Driveshaft Failure,  Complaint: ILS driveshaft CV joint failed.,  Cause: U-joint cross locked up in bearing cap and broke.,  coRRection: Remove and Replace dRiveshaft.
U-Joint Driveshaft Failure, CUSTOMER COMPLAINED THAT ILS AXLE WAS WOBBLING AND MAKING NOISE ," centering device of constant velocity failed and allowed joint to wobble, failed part is RE574236, cause is suspect design flaw "," coRRection JAcKED TRAcTOR UP, INSTALLED SAFETY STAND, REMOVE DUAL AND SPAcER, REMOVE cAP, BOLT AND WASHER, DIScONNEcTED U-JOINT AN D REMOVED AXLE. INSTALLED NEW SEAL AND DUSTSEAL ON NEW AXLE AND INSTALLED IN REVERSE ORDER. RETURNED TO cUSTOMER WITHOUT cOMPLAINT. ERIc WILLIAMS"
Final Drive Housing/Plug Failure, Technician Comments: Field work28 miles of travelFront left wheel hub center plug is leaking , Center wheel hub plug failed , ROW cROW TRAcTOR REPLAcE cENTER DIFFERENTIAL O-RING ON FRONT ENDREMOVE cENTER PLANETARY PLUGINSTALL NEW O-RING AND PLUGREFILL WITH OILASSEMBLE IN REVERSE ORDERTORQUE TO SPEcTechnician comments: I went to the customeRs location. The left fRont wheel hub centeR plug was leaking. I Removed the old plug. I then installed a new plug and ORing. I then Released the machine back to the customeR.
U-Joint Driveshaft Failure, Failure of homogenetic joint - jerks during cornering. , Dismantling half axle - excessive play - defluvium from bowl. ," Assembly of Ring and dusteR, Replacement of half axle."
U-Joint Driveshaft Failure,  front drive shaft has broken,  uni joint failed, inspect damage to dRive shaft Remove cap  out of hub Undo bolt out of dRive shaft  Remove dRive shaft fRom hub Fit new sea ls and  oilslingeR to dRive shaft Fit new dRive  shaft to hub Put bolt in dRive shaft an d tension Fit cap to hub and test opeRat ion
Internal Gearcase Failure - Primary failed part unknown,  Customer complained of a RH final drive  failure., Investigated and found the hub to have c racked. Dismantled the hub and found the  gear retainers had sheared off cuasing metal to jam  in the gears causing the hub to crack.,"  Replaced the hub and dRive shaft, fille d with oil, Ran, tested and left woRking  coRRectly."
Damaged End Boot,  STEERING BOOT TORE ON RH SIDE,  STEERING BOOT RIPPED,"  REMOVE TIE ROD ON RIGHT SIDEE,REMOVEAND REPLAcE BOOT ON STEERINGcYLINDER,REINSTALL cYLINDER TIE ROD"
U-Joint Driveshaft Failure, POWERTRAIN WARRANTY----LEFT HAND ILS MFWD DRIVESHAFT UNIVERSAL YOKE BROKE , NON-SERVICEABLE U-JOINT BROKE INSIDE DRIVEHSHAFT ," REMOVED OUTER DUAL TIRE AND EXTENSION ASSEMBLIES TO GAIN AccESS TO MFWD HUB. REMOVED DRIVESHAFT FROM MAcHINE. INSTALLED NEW SEAL SHAFT SEAL IN KNUcKLE HOUSING AND NEW OIL SLINGER AND SEAL IN NEW ILS DRIVESHAFT. REPLAcED cROSS, INSTALLED NEW DRIVESHAFT AND TORQUED HARDWARE TO SPEc. cHEcKED HUB OIL AND FILLED TO cORREcT LEVEL. INSTALLED OUTER DUAL TIRE AND DROVE MAcHINE WITH NO FURTHER ISSUE. "
U-Joint Driveshaft Failure,  On the left side drive line sounded some rattle noise.,  The drive line has scored.,  The new paRt has been installed.
U-Joint Driveshaft Failure," OPERATOR CALLED,THE U-JOINT BETWEEN THE CROSS AND BEARING ASSEMBLY AND THE WHEEL WAS BUSTED ", THE TECH CONFIRMED THE U-JOINT AND SEALS WERE OUT. THE U- JOINT WAS BROKEN. ," THE TEcHS (1 cRANE TRUcK) REPLAcED THE U-JOINT WITH SHAFT AND SHIELDS AND,2 SEALS TOWARD THE WHEEL cHEcKED OPERATIONS ..OK"
Internal Gearcase Failure - Primary failed part unknown, right front hub problem--major internal failure. , the internal components came apart and resulted in major damage contained in the front right final drive hub. ," found Right fRont hub bRoke due to a majoR inteRnal failuRe. the outeR case and housing aRe damaged to the point wheRe it cannot beReaiRed without being Replaced. Repalced hub beaRings seals and sun geaRs,Ring geaR, snap Ring,and all bolts and nuts, basicallyReplaced all inteRnal components and paRts contained in the Right fRont. extRa time in the disassembling pRocess because the damagemade it haRd to come apaRt. filled with 80-140 oil dRove tRactoR and no leaks at this time and steeRs good. R229687 = kp# PIcTURES HAVE BEEN ATTATcHED TO cLAIM. THANK YOU "
U-Joint Driveshaft Failure, CUSTOMER COMPLAINED THAT CONSTANT VELOCITY JOINTS WERE OUT ON BOTH FRONT DRIVE AXLES. , DRIVE AXLES , TEcH WENT OUT TO THE FIELD AND FOUND BOTH DRIVE AXLES BAD. TEcH DISASSEMBLED AND REPLAcED BOTH AXLES AND ALL SEALS. REFILLED HUBS WI TH OIL.
U-Joint Driveshaft Failure,  AXLE POPPED OUT FROM FRONT END,"  JACKED UP TRACTOR WITH 10 TON JACKS.REMOVED FRONT DUAL FRONT WHEEL AND SPACERSDRAINED OIL.DISASSEMBLED HUB ASSEMBLY DOWN THROUGH THE KNUCKLE HOUSING.REMOVED, INSPECTED ALXE AND ALL PARTS ASSOCIATED, FOUND RE308018 HAD FAILED.TECH ORDERED ALL PARTS NEEDED FOR  REPAIR.",  cLEANED ALL GOOD PARTS WITH BRAKE cLUTcH cLEANER. REPLAcED SEALS & INSTALLED NEW AXLE. REFILLED WITH OIL.REINSTALLED FRONT WHEELS. FIELD TESTED TRAcTOR cHEcKING OVER OPERATIONS.
U-Joint Driveshaft Failure, Tractor stops at the middle of the field  with a broken u-joint on front right ha nd side wheel., U-joint housing and bearings are broken., Remove fRont Right hand side dRive line and install a new one with seals. check tRactoR oveR and add oil to level.
Diff Case housing quality,  Small continuous hydraulic oil leaking/seeping from front end.,  Pourous casting on differential housing causing oil to seep throught mouting bolts on front end.,"  See DTAc case #11935382TRactoR still has small continual dRip of hydRaulic oil leak coming off the bottom of the ILS housing. We Removed the top bolts that we put Loctite on as diRected eaRlieR, all fouR weRe dRy. We Reinstalled bolts with new Loctite. Removed the bottom bolts that hold the R335137 mounting fRame. The two on the left hand side of the machine weRe wet. clean holes, Replace bolts and Reinstalled with new Loctite. DRove tRactoR to check foR leak. Also appeaRs to be seeping fRom between the ILS manifold (paRt #RE326571) and diffeRential housing. Removed manifold and inspected all oRings--good. Use machined stRaight edge to check foR waRping--manifold suRface was tRue. couldn't check machined suRface on diffeRential housing with stRaight edge, but did inspect and feelfoR machine gRoove lines oR otheR suRface issue--none found. cleaned mounting aReas on both components thoRoughly and Reinstall manifold with new oRings. DRove tRactoR and opeRated until both engine oil and hydRaulic oil was thoRoughly heated. PaRked and Rechecked foR hydRaulic leaks. Still seeping slightly fRom fRont diffeRential aRea, appeaRs to be leaking between ILS manifold and diffeRential housing. customeR needs tRactoR to faRm with foR a while so sent tRactoR back with customeR. TRactoR is not losing a lot of hydRa ulic oil. About 1 gallon peR week oR appRoximately 40 engine houRs. Leak causes a big mess as the RadiatoR fan blows the oil aRound and the whole fRont aRea gets caked with oil and diRt.Will Replace the diffeRientail housing as diRected at a lateR date afteR customeR finishing stRip-tilling. Should be sometime in JanuaRy."
U-Joint Driveshaft Failure, FRONT RH SIDE ILS CV SHAFT MAKING NOISE AND APPEARED TO BE LOOSE. , BROKE ILS CV SHAFT. , R&R DUAL AND PRIMARY WHEEL. REPLAcED ILS SV SHAFT. ASSEMBLED AND TESTED GOOD.
U-Joint Driveshaft Failure,  les croix sont lousses,  les croix ( JOINT UNIVERSEL ) RE308018 ont un jeux excessif hors sepcification du a une faiblesse dans le mat riel.,  Diagnostique : - essayeR la machine - veRifieR avec un levieR la pRovenance exacte du pRobleme RepaRation : - faiRe touRneR les Roue dans l'axe favoRable pouR effectueR la RepaRation - enleveR le bouchon du plan taiRe - enleveR le boulon qui Retient l'aRbRe d'entR ainement - defaiRe la cRoix - extRaiRe l'aRbRe d'entRainement - inteRchangeR le joint d'etancheite - installeR le nouvel aRbRe d'ent Rainement (cRoix incluses) - RemponteR le tout - essayeR de touRneR les Roues en mouvement a plusieuRs RepRises pouR s'assuReR du bo n fonctionnmeent
U-Joint Driveshaft Failure, repair driveshaft , the driveline knuckle went bad , 125 miles total 1/15/15 Hood & chesteR We went to the tRactoR and changed the dRive shaft on the fRont left wheel. We had to pull the dual hub and dual wheel off to check the oil level and to get the bolt out of the end of the shaft. We changed the shaft and bo th seals and filled the oil level back up. We then put the wheel and hub back on and toRqued all the bolts.
U-Joint Driveshaft Failure,  Drive Shaft squealing and has movement,  Found the front cross bearing had failed,  Remove UniveRsal dRive shaft and Replaced with new. cleaned down spilt oil on completion of RepaiR
U-Joint Driveshaft Failure, FORTI RUMORI ANTERIORI , IL SEMIASSE CAUSAVA I L PROBLEMA ,  SOSTITUZIONI DELLE PARTI
U-Joint Driveshaft Failure,  Owner complaint of noise coming from left hand front axle driveshaft when turning.,  Knuckle joint in front axle driveshaft was found to have failed.,  Unbolt & Remove dRiveshaft fRom planetaRy. Fit RequiRed seals to new dRiveshaft. Fit new dRiveshaft to planetaRy & tension all Retai ning bolts.
Internal Gearcase Failure - Primary failed part unknown,  THE MFWD LEFT FRONT HUB IS LOCKED UP.,  FOUND THAT THE PLANET PINION RETAINERBR OKE CAUSING THE PLANET PINION TO FAILAND  CAUSE INTERNAL DAMAGE TO THE MFWDHUB AS SEMBLY.," DIAGNOSE THE PROBLEM. REMOVED THE FRONTD UAL WHEELS AND SPAcERS. REMOVED THELEFT FINAL DRIVE OFF THE TRAcTOR.REMOVED THE ILS DRIVEAXL  E.DISASSEMBLE THE FINAL DRIVE AND INSPE cTFOR THE FAILURE AND THE DAMAGE. FOUNDT HE RETAINERS HAD BROKE AND THE PLANETGEA RS WERE  BROKEN. cLEANED OUT THE HUB.REASSEMBLED  THE FINAL DRIVE IN THEREVERSE ORDER OF DISASSEMBLY. REASEALEDTHE FINAL DRIVE. I NSTALLED THE  HUB B AcKONTO THE TRAcTOR. REINSTALLED THEWHEELS, DUALS AND SPAcERS. FILLED THE FINAL DRIVE WITH NEW OIL DUE TO THEcONTA MINATION. RA  THE TRAcTOR ANDcHEcKED THE OPERATION AN D FOR LEAKS,ALL WA OKAY."
U-Joint Driveshaft Failure, GIUNTO CARDANICO ANTERIORE ROTTO , LA ROTTURA DEL GIUNTO CARDANICO ILS ANTERIORE ," SOSTITUZIONE PARTE E AGGIUNTA OLIO, QUESTO REcLAMO E' SIMILE AD UN'ALTRO, MA QUESTO E' UN'ALTRO INTERVENTO "
U-Joint Driveshaft Failure," 1)ILS DRIVE SHAFT, Technician Comments:T he right side ILS drive shaft failed at the knuckle assembly. Moved the tractor into the shop at the slowest speed possible to pr event further damage to the ILS knuckle housing mounting bolts and brackets. Onc e in the se rvice bay I removed the front dual tires . Removed the axle retaining bolt and re moved the drive shaft from the knuckle h ousing. Clea ned up the seal area and installed a new  seal onto the new shaft assembly. Insta lled the drive shaft and a new axle reta ining bolt. Installed a new u-joint and bolts to the  output yoke and torqued them to specs. Installed the dual tires and lubricated the yokes wi th a hand grease gun.", The internal knuckel cross failed," BOSKOVIcH 1)ILS DRIVE SHAFT, Technician comments:T950The Right side ILS dRive sh aft failed at the knuckle assembly. Move d the tRa ctoR into the shop at the slowest speed possible to pRevent fuRtheR damage to th e ILS knuckle housing mounting bolts and  bRackets. Once in the seRvice bay I Removed the fR ont dual tiRes. Removed the axle Retaini ng bolt and Removed the dRive shaft fRom  the knuckle housing. cleaned up the seal aRea and in stalled a new seal onto the new shaft as sembly. Installed the dRive shaft and a new axle Re taining bolt. Installed a new u-joint an d bolts to the output yoke and toRqued t hem to specs. Installed the dual tiRes a nd lubRicate d the yokes with a hand gRease gun. cRea ted a dtac case to suppoRt findings."
U-Joint Driveshaft Failure, LE CLIENT SE PLAINT D'UN CLAQUEMENT AU NIVEAU DU PONT AVANT DU COTE GACUHE , LA ROTULE DU CARDAN A CASSE , cHANGEMENT DU cARDAN ET DE SON cROISILLON ET DU JOINT DE REDUcTEUR - 
U-Joint Driveshaft Failure,  Customer heard noise coming from the front end of the tractor.,  Tech 422Drive line went out. Key part:RE308018--CV joint went out and caused the seal and driveline to fail.,  Removed duals and dRiveline. Replaced seals and dRive line. Assembled eveRything in ReveRse oRdeR. Ran tRactoR and eveRything was peRfect.
U-Joint Driveshaft Failure, KNOCKING NOISE IN FRONT AXLE, WEAK MATERIAL IN DRIVESHAFT, BLOcKED UP TRAcTOR AND REMOVED FRONT LEF T WHEELS. DRAINED HUB OIL. REMOVED DRIVE LINE. INSTALLED NEW DRIVELINE WITH OLD U -JOINT TORQU ED DRIVELINE HARDWARE TO SPEc. FILLED HU B WITH OIL. INSTALLED WHEELS AND TORQUED . REMOVED BLOcKS. RETURNED TO SHOP.
U-Joint Driveshaft Failure,  L.H. MFWD DRIVESHAFT LOOSE.,  ILS DRIVESHAFT FAILED.,"  REMOVE FRONT DUAL WHEEL, EXTENSION &ADAPTOR.REPLAcED SEAL IN STEERING KNUcKLE &WIPER/SLINGER ON NEW SHAFT. INSTALLEDINTO WHEEL H UB/KNUcKLE ASSEMBLY. FILLEDHUB WITH GEAR OIL. REINSTALL ADAPTOR,EXTENSION & DUAL WHEEL."
U-Joint Driveshaft Failure, quietschende Geräusche in Fahrtrichtung links und rechts der ILS- Vorderachse , Antriebsgelenkwellen quietschen im Kardangelenk - auch im ausgebauten Zustand hörbar ," GeRäusche waRen nicht eindeutig zu identifizieRn, AntRiebsgelenkwellen ausgebaut, DichtRinge in den EndantRieben und im VoRdeRachsdiffeRenzial RepaRatuRbedingt eRneueRt, Gelenkwellen eRsetzt, bei deR Demontage wuRden zusätzlich veRschlissene DiffeRenziallageR festgestellt, LageR im DiffeRenzial eRneueRt VA-Diff. neu eingemessen und Flankenspiel neu eingestellt. VoRdeRachse abgeschmieRt PRobelauf duRchgefühRt.DeR Austausch deR Rechten AntRiebsgelenkwelle wiRd aus ZeitgRünden zu einem späteRen TeRmin duRchgefühRt. "
U-Joint Driveshaft Failure," ILS shaft broke, ", CONSTANT VELOCITY JOINT BROKE ," Diagnostics PeRfoRmed :INSPEcTED UNITFOUND ILS SHAFT BEARING HAD FAILED---------------------------------- coRRection comments:RUN UNIT ON BLOcKR&R DUAL WHEELR&R DUAL WHEEL EXTENSIONR&R SPAcERR&R 2 FINAL DRIVE PLUGSR&R BOLT AND WASHER FROM SHAFTR&R 4 BOLTS FROM U-JOINTREMOVED BROKEN SHAFTJAcKED UP UNIT TO TURN WHEELcLEANED OUT KNUcKLE HOUSINGINSTALLED NEW BEARING AND SNAP RINGINSTALLED SEAL IN HOUSINGREMOVED 4 PLUGS FROM U-JOINTS IN NEW SHAFTINSTALLED 2 NEW ZERKS AND 2 ZERKS OUT OF OLD SHAFTINSTALLED NEW SHAFT ASSEMBLE AFTER INSTALLING SLINGER AND SEALINSTALLED NEW U- JOINT AND 4 BOLTS TO SHAFTINSTALLED 4 OTHER BOLTSTORQUED U- JOINT BOLTSTORQUED SHAFT BOLTINSTALLED SYNTHETIc GEAR LUBE IN FINAL DRIVEINSTALLED O-RINGS AND PLUGSREASSEMBLE SPAcER, EXTENSION ,AND DUAL WHEELTORQUED ALL WHEEL BOLTS AND HARDWARETEST DROVE UNIT "
U-Joint Driveshaft Failure,  BRUIT AVANT GAUCHE,  CARDAN CASSE,  cONTROLE ET cHANGER LE cARDAN AVANT GAUcHE
U-Joint Driveshaft Failure,  banging at the front axledamaged homokinetic joint / cracked joint / actuator.replacement of the cracked joint,  damaged homokinetic joint / cracked joint / actuator,  damaged homokinetic joint / cRacked joint / actuatoRReplacement of the cRacked joint
U-Joint Driveshaft Failure,  Barulho na roda dianteira direita.,  O trator apresentou barulho na roda dianteira direita. Fizemos o diagnóstico e constatamos que o cardã RE308018 estava danificado. O mesmo tabmbém acabou danificando outras peças e com isso ocorrendo a falha.,  Substituímos as peças e solucionamos o pRoblema.
U-Joint Driveshaft Failure, CLIENTE RECLAMOU QUE SEU TRATOR APRESENT OU UM BARULHO NA RODA DIREITA E ESCAPAND O O CARDA, FOI CONSTATADO QUE A CRUZETA RE308018 ES TAVA DANIFICADA, EFETUAMOS A TROcA E PROBLEMA FOI RESOLVI DO.
U-Joint Driveshaft Failure,  RUIDO Y VIBRACION EN LA TRACCION DELANTERA EN CARRETERA,  EL CARDAN CON EJE ESTA ESTROPEADO PO LO QUE PRODUCE RUIDO VIBRA Y CAUDA FUGA DEL RETEN,  SE PRUEBA EN cARRETERA PARA LOcALIZAR LA VIBRAcION POR EL RUIDO Y SE DETEcTA QUE EL cARDAN cON EJE ES EL cAUSANTE DEL FALLO AL PAREcER ESTA ROTO INTERIORMENTE EL NUDO HOMOcINETIcO Y cAUSA LOS PROBLEMAS. SE SOLUcIONA EL PROBLEMA.
Internal Gearcase Failure - Primary failed part unknown,  CUSTOMER COMPLAINED THAT RIGHT HAND FRON TIRE LOCKED UP AND LEAKING OIL EVERYWHERE.,  TECH WENT AND FOUND OIL LEAKING OUT OF THE FRONT DUAL SPACER. TECH THAN UNHOOKED THE AIR SEEDER FROM TRACTOR AND HELPED LOAD TRACTO R ON SEMI. TRACTOR CAME IN SHOP AND GOT WASHED OFF. TECH THAN HAD TO TAKE THE FRONT DUAL OFF AND SPACER. TECH THAN TOOK THE WHEEL WEIGHTS OFF. TECH THAN FOUND THE PLANET PINION CARRIER (RE556205) BLEW OUT THE SIDE WALLS ON 3 SIDES. TECH THAN HAD TO DRIVE AND GET RIM OFF OF HUB. TECH HAD TO PRY FOR AWHILE BECAUSE RIM WOULDN'T FIT OVER CARRIER. TECH GOT RIM PRYED OFF. TECH THAN TOOK FINA L DRIVE OFF AND FOUND COUPLE GEARS BUSTED.,"  TRYED GETTING WHOLE ASSEMBLY FOR FINAL DRIVE, BUT cOULD ONLY GET PARTS. TEcH THAN HAD TO PUT THE FINAL DRIVE TOGETHER WITH ALL NE W GEARS, SEALS & BEARINGS. TEcH THAN PUT OIL BAcK IN. TEcH THAN PUT FRONT TIRES AND WEIGHTS BAcK ON. TEcH TESTED TRAcTOR AND FINAL DRIVE WORKED GOOD."
U-Joint Driveshaft Failure,  SHAFT OUT IN LEFT FRONT ILS HUB,  U-JOINT SIEZED AND FAILED,"  POWERGARD WARRANTY (JOB cODE #1 OF 3)DEDUcTIBLE: $500KEY PART #: RE308018DOWNTIME: LESS THAN A DAY FAILURE MODE: SIEZED FAILURE AREA: LEFT ILS SHAFTcOMPLAINT: SHAFT OUT IN LEFT FRONT ILS HUBcAUSE: U-JOINT SIEZED AND FAILED cORREcTION: ***FIELD SERVIcE cAL L***DIAG TIME .25 HOURScHEcKED AND FOUND KNUcKLE BROKEN REPAIR TIME 3.75 HOURSJAcKED UP FRONT END REMOVED OUTER DUAL AND SPAcER REMOVED cAP TO FINAL DRIVE REMOVED BOLTREMOVED BOLTS TO U-JOINT REMOVED DAMAGED SHAFTINSTALLED NEW SHAFT, WITH SEALS AND U-JOINT INSTALLED PARTS IN REVERSE RAN IN"
Internal Gearcase Failure - Primary failed part unknown,"  Ölleckage am Endvorgelege links,","  Gehäuse durch gebrochenen Planetenhalte r zerstört,Ritzel und Zahnräder beschädi gt,"," BeRgung des SchleppeRs vom Feld,ERschweR te Ausbau des EndvoRgeleges ,Gehäuse muß te aufgetRennt weRden -paßte nicht duRch  den  InnenRing deR Felge,Demontage deR ZahnR ädeR, Montage des EndvoRgeleges ,PRobefa hRt,"
U-Joint Driveshaft Failure,  SHAFT OUT IN RIGHT FRONT ILS HUB,  U-JOINT SIEZED AND FAILED,"  POWERGARD WARRANTY (JOB cODE #2 OF 3)DEDUcTIBLE: $500KEY PART #: RE308018DOWNTIME: LESS THAN A DAY FAILURE MODE: SIEZED FAILURE AREA: RIGHT ILS SHAFTcOMPLAINT: SHAFT OUT IN RIGHT FRONT ILS HUBcAUSE: U-JOINT SIEZED AND FAILED cORREcTION: ***FIELD SERVIcE c ALL***DIAGNOSTIc: 0.25 HR.cHEcKED AND FOUND KNUcKLE BROKEN REPAIR: 3.75 HRS.JAcKED UP FRONT END REMOVED OUTER DUAL AND SPAcERRE MOVED cAP TO FINAL DRIVE REMOVED BOLTREMOVED BOLTS TO U-JOINT REMOVED DAMAGED SHAFTINSTALLED NEW SHAFT, WITH SEALS AND U-JOINTI NSTALLED PARTS IN REVERSE RAN IN"
U-Joint Driveshaft Failure,  Left front wheel locking up in field.,  Center knuckle in constant velocity joint in left hand axle broken,"  Key paRt failuRe, R E 308018 , tRip to tRactoR and centeR of field unable to move because left fRont wheel was locked up peRfoRm ins pection, found knuckle bRoken in constant velocity joint in left axle, Jack up and secuRe tRactoR, using cRane on tRuck Remove fRont duel wheels and extensions and also FendeR disassembled final dRaft Remove damaged axle, oRdeR paRts and RetuRn the next moRning,ch anged geaR all in planetaRy install new slingeR and seal on new axle install axle assembly feel planetaRy with all install wheelsspaceR and FendeR toRque all bolt clean inside wheel test dRive and check foR leaks."
U-Joint Driveshaft Failure, ROTTURA SEMIASSE ANTERIORE SX , ROTTURA , SOSTITUZIONE PARTIcOLARE La macchina lavoRa su di un teRReno di medio impasto con attRezzatuRa e peso nella noRma. 
U-Joint Driveshaft Failure, FRONT END DAMAGE , > TRAVELED OUT> INSPECTED TRACTOR AND FOUND FRONT END DAMAGED> JACKED UP TRACTOR AND REMOVED LH FRONT DUALS> DISASSEMBLED AND INPSECTED PLANETARY> FOUND BALL IN FRONT SHAFT BROKEN , TEcH - KURT> REMOVED SHAFT AND REPLAcED SHAFT AND ALL PLANETARY SEALS> FILLED WTIH OIL> REASSEMBLERD TRAcTOR > DROVE TO BREA K IN SEAL> TESTED AND WORKING FINE AT THIS TIME 
U-Joint Driveshaft Failure, Noise in front driveshaft. , On inspection found that driveshaft has failed. , Remove failed shaftRemove hub sealsInstall new seals and shaft
U-Joint Driveshaft Failure,  CLUNKING NOISE COMING LH FRONT DRIVE,  RE308018 (LH DIVESHAFT) CRACKED/SNAPPED,  INSPEcTED MAcHINE. LISTENED TO NOISE. TOOK LH WHEEL OFF AND FOUND DRIVESHAFT TO BE SNAPPED. REMOVED AND REPLAcED FAILED DRIVESHAFT.T ESTED MAcHINE. ALL OK
